CountryCode,Year,TreeCoverLoss_ha,GrossEmissions_Co2_all_gases_Mg,TreeCoverLoss_ha_std,GrossEmissions_Co2_all_gases_Mg_std
ABW,2020,0.3134569898247719,50.60296628205106,0.33075175097155035,18.69731398863063
ABW,2021,0.3188105672597885,50.59920043556485,0.3389025458102228,18.69864959122793
ABW,2022,0.32530951127409935,50.595434588962235,0.34663557860002814,18.69998575951063
ABW,2023,0.33270229399204254,50.59166874247603,0.35458726698144827,18.701322493295226
ABW,2024,0.34069799259305,50.58790289587341,0.36264914527965675,18.702659792472915
ABW,2025,0.3490227609872818,50.58413704938721,0.37067405407818266,18.703997656959768
ABW,2026,0.3574305847287178,50.580371202901006,0.3785215961941939,18.705336086584698
ABW,2027,0.3657090775668621,50.5766053564148,0.3860671780895132,18.706675081238842
ABW,2028,0.3736828938126564,50.572839509812184,0.3932072683235806,18.708014640825777
ABW,2029,0.3812147453427315,50.569073663209565,0.3998623264351467,18.709354765211707
ABW,2030,0.38820449635386467,50.56530781672336,0.40597760944640715,18.710695454275275
AFG,2020,36.677362296381034,13126.467821896076,4.478044756773441,4.465596191013506
AFG,2021,54.27650208969135,18603.00352871418,38.66557718125488,41.21267615495884
AFG,2022,62.61425961274654,21486.35633084178,41.15370687973749,44.41721423132629
AFG,2023,70.45701402600389,23492.122538864613,43.628109448867896,46.37761612483708
AFG,2024,77.22825787466718,24761.834493875504,45.67726717611322,47.459503195620044
AFG,2025,82.57938437332632,25515.052399158478,47.1548007173153,48.05596632120048
AFG,2026,86.4474069182761,25935.87152811885,48.109003328260464,48.401959071658005
AFG,2027,89.0070590461255,26153.456214398146,48.67342291543485,48.62012486799012
AFG,2028,90.56145660107723,26250.92654582858,48.98503710726694,48.77278124722397
AFG,2029,91.43181096424814,26279.10132163763,49.147926231564796,48.8920415090743
AFG,2030,91.88560569658875,26268.01422044635,49.229401376375485,48.9948710993232
AGO,2020,247669.74297958612,85797619.39875793,4.465602222108243,4.464629169999772
AGO,2021,203727.56464987993,70895396.66751099,38.471250910257176,38.56586601512024
AGO,2022,194489.99784862995,67144435.21740723,40.90545853376375,41.05546225346228
AGO,2023,185474.39807006717,63569281.1437912,43.380947477772835,43.56204434353903
AGO,2024,177592.60025012493,60526792.954322815,45.535661567530916,45.7084970247772
AGO,2025,171308.6879647076,58173169.00100708,47.187996961460776,47.320518076150414
AGO,2026,166697.35086914897,56503042.84008789,48.33423138004392,48.41299456028435
AGO,2027,163572.5511841774,55413053.13978577,49.07428188282148,49.10234688982627
AGO,2028,161623.14332066476,54761768.35227203,49.53429232203756,49.5229442550133
AGO,2029,160518.1939613074,54411727.789512634,49.82112181752817,49.78272976475905
AGO,2030,159970.28673101962,54251314.61343384,50.00920057719655,49.953801066962605
AIA,2020,0.26784973684698343,47.39793634111993,0.4781636822003034,4.473604836612739
AIA,2021,0.6753881173208356,388.7673586199526,3.1138209345742416,45.35333514221801
AIA,2022,0.8678635833784938,460.03337701014243,3.699946726006908,46.705432279207024
AIA,2023,0.7993102557957172,462.19829598465003,3.8088070484490024,46.79171085931899
AIA,2024,0.6804705746471882,460.57282545254566,3.8715770968933647,46.847618818566325
AIA,2025,0.5548753272742033,458.92126151081175,3.9316936355272762,46.90727969595605
AIA,2026,0.42808769177645445,457.2696734133642,3.993881894571237,46.97090555913799
AIA,2027,0.3010826911777258,455.6180853131227,4.05886077794097,47.03848053028979
AIA,2028,0.1740393815562129,453.96649721148424,4.1266526633245,47.10998761558045
AIA,2029,0.04698948748409748,452.31490911357105,4.197149434218818,47.18540893819772
AIA,2030,0.08006151206791401,450.6633210130967,4.270222128417996,47.264725760130226
ALA,2020,673.5023354585283,224623.01160126925,4.466898212171561,4.4676514172176836
ALA,2021,678.4557106518187,191708.68391996622,46.171508389183764,46.17150838917368
ALA,2022,680.6959029636346,192608.6385742426,46.21664512818172,46.21664512818172
ALA,2023,682.9360952769639,193508.59322875738,46.26576109388148,46.26576109387142
ALA,2024,685.1762875893619,194408.54788291454,46.31884362766676,46.31884362766676
ALA,2025,687.4164799030405,195308.50253742933,46.37587910895778,46.37587910895778
ALA,2026,689.6566722152056,196208.4571915269,46.436852972322605,46.43685297233263
ALA,2027,691.8968645283021,197108.41184574366,46.5017497255086,46.50174972549859
ALA,2028,694.1370568413986,198008.36650031805,46.57055296872401,46.57055296872401
ALA,2029,696.3772491541458,198908.32115471363,46.643245414643964,46.643245414643964
ALA,2030,698.6174414681736,199808.27580863237,46.71980890932714,46.71980890932714
ALB,2020,1121.7479188749567,507794.6443839073,4.466859372026606,4.4668912318829985
ALB,2021,1909.66554678604,705575.5667066574,45.979287425443005,46.111757266205444
ALB,2022,1971.7083030575886,712957.4068050385,46.38280247797535,46.30346245259033
ALB,2023,1973.128586217761,712284.9307980537,46.44820467379541,46.35610619223472
ALB,2024,1970.3577057896182,711373.0690326691,46.502491018176556,46.40945208154518
ALB,2025,1967.3534734314308,710455.5216851234,46.55992771206496,46.46668140664721
ALB,2026,1964.3374663554132,709537.8522324562,46.621276160441866,46.52785592645565
ALB,2027,1961.320897789672,708620.180305481,46.686560440605376,46.592961758123884
ALB,2028,1958.3043034095317,707702.508330822,46.7557659746599,46.661982480019056
ALB,2029,1955.2877078726888,706784.8363547325,46.82887546646293,46.73490074764369
ALB,2030,1952.2711122799665,705867.1643795967,46.90587066545292,46.81169834745904
AND,2020,24.15486131608486,16591.044952131808,4.2720940358250505,4.470109973450293
AND,2021,15.289397269487381,3581.299361638725,7.640451968804239,46.120104190048266
