CountryCode,Year,TreeCoverLoss_ha,GrossEmissions_Co2_all_gases_Mg,TreeCoverLoss_ha_std,GrossEmissions_Co2_all_gases_Mg_std
ABW,2020,0.22374005988240242,59.87092331505846,0.0,6.228743944322562
ABW,2021,0.22376861423254013,60.26731223112438,0.0,7.84018693133271
ABW,2022,0.2237970195710659,60.393335166736506,0.0,9.724190039776973
ABW,2023,0.22382523491978645,60.269648992456496,0.0,11.786581494410898
ABW,2024,0.2238532491028309,59.91927088238299,0.0,13.966633329799588
ABW,2025,0.22388103604316711,59.366977494442835,0.0,16.221514321390806
ABW,2026,0.22390859574079514,58.63868372433353,0.0,18.518187507027218
ABW,2027,0.22393588721752167,57.76082529639825,0.0,20.829481783813073
ABW,2028,0.2239629104733467,56.75976722384803,0.0,23.132201731063127
ABW,2029,0.22398963198065758,55.66125716618262,0.0,25.406221512684535
ABW,2030,0.22401603683829308,54.48993914248422,0.0,27.634057868724955
AGO,2020,8922.30974655971,4914792.757941246,4.4677980641170985,4.4649769768566525
AGO,2021,8526.324252489954,4730870.459143639,39.262756453175804,39.46280567246893
AGO,2022,7865.389531970024,4362864.359575272,42.14712146697761,42.45365029165094
AGO,2023,7396.61180912517,4114862.9467220306,44.798965222292,45.11621727440002
AGO,2024,7114.500566901639,3977167.7915534973,46.76695931626241,46.99729932418116
AGO,2025,6972.542053502053,3916160.0549459457,48.00450108315039,48.11270835481109
AGO,2026,6915.912349497899,3897124.738629341,48.699500759722554,48.704387249314365
AGO,2027,6901.845434194431,3896058.287501335,49.071937952114816,49.00930888604445
AGO,2028,6904.905463002622,3900626.4150648117,49.27892811867879,49.178461993842625
AGO,2029,6913.190610945225,3906129.54312706,49.40959448276019,49.29008462078191
AGO,2030,6922.404968207702,3911395.4398059845,49.50878583252235,49.380639374447384
ARG,2020,20837.355630412698,8238027.528968811,4.466898212171561,4.466872979709658
ARG,2021,21490.61817739904,7809974.946205139,46.171508389183764,46.061084531396254
ARG,2022,21482.130308508873,7778505.758110046,46.21664512818172,46.33994732382487
ARG,2023,21473.642439603806,7775004.567649841,46.26576109388148,46.39694831747061
ARG,2024,21465.154570676386,7772915.365140915,46.31884362766676,46.450569734665294
ARG,2025,21456.66670177877,7770880.4009132385,46.37587910895778,46.50788359186632
ARG,2026,21448.178832873702,7768847.2954216,46.436852972322605,46.56913818640007
ARG,2027,21439.690963961184,7766814.249725342,46.5017497255086,46.6343269469303
ARG,2028,21431.203095033765,7764781.205883026,46.57055296872401,46.70343368871315
ARG,2029,21422.715226098895,7762748.162101746,46.643245414643964,46.77644105565875
ARG,2030,21414.22735721618,7760715.118309021,46.71980890932714,46.85333081412955
AUS,2020,0.5317939831875265,299.4932555053383,0.2954732417693663,4.4669295527081765
AUS,2021,2.6234946395270526,1523.7895947396755,5.62991583211501,46.29409004911424
AUS,2022,3.407809903845191,1529.0319986976683,6.12329719030281,46.33936765277361
AUS,2023,3.607166294939816,1534.2744026537985,6.180076981812872,46.38862880819867
AUS,2024,3.6309146324638277,1539.516806613654,6.18453787344583,46.441860839230564
AUS,2025,3.6334745589410886,1544.759210569784,6.1850034192248025,46.499050108367086
AUS,2026,3.635032368125394,1550.0016145259142,6.1852934101170725,46.560182033667424
AUS,2027,3.6365710446843877,1555.2440184801817,6.185580801035137,46.625241107105936
AUS,2028,3.6381095725810155,1560.4864224400371,6.185868915688101,46.69421091367137
AUS,2029,3.63964809931349,1565.7288263970986,6.186157779982257,46.76707415117036
AUS,2030,3.6411866263952106,1570.9712303522974,6.186447394038411,46.84381265154739
BDI,2020,26.9675875811663,14374.185449425131,0.3021562601481144,4.466898212171561
BDI,2021,19.238843870378332,9306.185815745965,14.23471683694066,46.171508389183764
BDI,2022,19.40820910036564,9318.474032957107,14.29785983241918,46.21664512818172
BDI,2023,19.574276096653193,9330.7622501757,14.366528128435728,46.26576109388148
BDI,2024,19.736742044013226,9343.050467375666,14.440654836387202,46.31884362766676
BDI,2025,19.89531540806638,9355.338684592396,14.52016322886493,46.37587910895778
BDI,2026,20.04971678054426,9367.626901822165,14.604966253125973,46.436852972322605
BDI,2027,20.199679667508462,9379.915119025856,14.694966117166171,46.5017497255086
BDI,2028,20.344951224775286,9392.2033362519,14.790053960985354,46.57055296872401
BDI,2029,20.48529293484171,9404.491553464904,14.89010962330407,46.643245414643964
BDI,2030,20.620481221470982,9416.779770668596,14.995001511700567,46.71980890932714
BEN,2020,2.1516852527856827,439.84740701224655,3.2008017230839774,4.466954054712854
BEN,2021,2.1393689843825996,471.99085481697693,3.3832944316504387,46.38368077638658
BEN,2022,2.005949107464403,474.36850615404546,3.424491223766099,46.42311837791762
BEN,2023,1.8843469717539847,476.746157492511,3.4664212273185386,46.466613358542936
BEN,2024,1.7824175585992634,479.1238088295795,3.5061741075328228,46.514154336234405
BEN,2025,1.7032767650671303,481.5014601685107,3.541494204674748,46.56572891876059
BEN,2026,1.6462421538308263,483.8791115055792,3.5710860802444575,46.62132371969401
BEN,2027,1.6081749168224633,486.2567628445104,3.594610618536602,46.680924375369706
BEN,2028,1.5848188172094524,488.63441418344155,3.6124636918544186,46.74451556297653
BEN,2029,1.5718603888526559,491.01206552097574,3.625472731829863,46.81208101992763
BEN,2030,1.5655940570868552,493.3897168589756,3.6346219075132438,46.883603563877166
BES,2020,2.7062693601474166,2963.0202185520902,2.9119476297266713,4.467834764591243
BES,2021,1.928966723382473,2686.7619575257413,2.97384369968343,22.949204076599948
BES,2022,1.926359010860324,2156.1613344096113,2.9739581439850635,36.1385467243316
